Target_Ref,Target_Amount,Transaction_ID,Transaction_Amount,Description
2,20760.83984,SIPBZ24+01237,20760.84,Invoice SIVI24-01243
6,2002.079956,SIPBZ24+01362,2002.08,Invoice SIVI24-01367
7,4818.47998,SIPBZ24+01361,4818.48,Invoice SIVI24-01366
9,9070.879883,SIPBZ24+01502,9070.88,Invoice SIVI24-01505
10,23188.9707,SIPBZ24+01478,23188.97,Invoice SIVI24-01480
2,20659.40039,SIPBZ24+01168,20659.4,Invoice SIVI24-01174
3,80791.20313,SIPBZ24+00865,80791.2,Invoice SIVI24-00873
4,2012.400024,SIPBZ24+01175,2012.4,Invoice SIVI24-01180
6,12674.48047,SIPBZ24+01022,12674.48,Invoice SIVI24-01029
8,14235.21973,SIPBZ24+01261,14235.22,Invoice SIVI24-01264
3,865.0599976,SIPBZ24+00608,865.06,Invoice SIVI24-00605
4,14830.59961,SIPBZ24+01487,14830.6,Invoice SIVI24-01489
5,42807.60156,SIPBZ24+01365,42807.6,Invoice SIVI24-01370
7,10947.04004,SIPBZ24+00505,10947.04,Invoice SIVI24-00513
8,17486.19922,SIPBZ24+01034,17486.2,Invoice SIVI24-01039
9,4615.799805,SIPBZ24+01482,4615.8,Invoice SIVI24-01484
10,4435.200195,SIPBZ24+01489,4435.2,Invoice SIVI24-01491
