Target_Ref,Target_Amount,Transaction_ID,Transaction_Amount,Description
2,20760.83984,"0         OPENSA_0001
4583    SIPBZ24+01237
Name: Document No., dtype: object","0           0.00
4583    20760.84
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4583    Invoice SIVI24-01243
Name: Description, dtype: object"
6,2002.079956,"0         OPENSA_0001
4695    SIPBZ24+01362
Name: Document No., dtype: object","0          0.00
4695    2002.08
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4695    Invoice SIVI24-01367
Name: Description, dtype: object"
7,4818.47998,"0         OPENSA_0001
4694    SIPBZ24+01361
Name: Document No., dtype: object","0          0.00
4694    4818.48
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4694    Invoice SIVI24-01366
Name: Description, dtype: object"
8,918423.0,"55        OPENSA_0056
3928    SIPBZ24+01056
Name: Document No., dtype: object","55           0.01
3928    918422.99
Name: Remaining Amt. (LCY), dtype: float64","55          Customer opening
3928    Invoice SIVI24-01061
Name: Description, dtype: object"
9,9070.879883,"0         OPENSA_0001
4874    SIPBZ24+01502
Name: Document No., dtype: object","0          0.00
4874    9070.88
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4874    Invoice SIVI24-01505
Name: Description, dtype: object"
10,23188.9707,"0         OPENSA_0001
4764    SIPBZ24+01478
Name: Document No., dtype: object","0           0.00
4764    23188.97
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4764    Invoice SIVI24-01480
Name: Description, dtype: object"
2,750.0,"230    OPENSA_0231
399    OPENSA_0403
Name: Document No., dtype: object","230    330.0
399    420.0
Name: Remaining Amt. (LCY), dtype: float64","230    Customer opening
399    Customer opening
Name: Description, dtype: object"
2,20659.40039,"0         OPENSA_0001
4474    SIPBZ24+01168
Name: Document No., dtype: object","0           0.0
4474    20659.4
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4474    Invoice SIVI24-01174
Name: Description, dtype: object"
3,80791.20313,"0         OPENSA_0001
4256    SIPBZ24+00865
Name: Document No., dtype: object","0           0.0
4256    80791.2
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4256    Invoice SIVI24-00873
Name: Description, dtype: object"
4,2012.400024,"0         OPENSA_0001
4489    SIPBZ24+01175
Name: Document No., dtype: object","0          0.0
4489    2012.4
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4489    Invoice SIVI24-01180
Name: Description, dtype: object"
6,12674.48047,"0         OPENSA_0001
4382    SIPBZ24+01022
Name: Document No., dtype: object","0           0.00
4382    12674.48
Name: Remaining Amt. (LCY), dtype: float64","0           Customer opening
4382    Invoice SIVI24-01029
Name: Description, dtype: object"
7,12794.59961,"4516    SIPBZ24+01169
4636    SIPBZ24+01255
Name: Document No., dtype: object","4516    8586.76
4636    4207.84
Name: Remaining Amt. (LCY), dtype: float64","4516    Invoice SIVI24-01176
4636    Invoice SIVI24-01265
Name: Description, dtype: object"
